UID,iso2,iso3,code3,FIPS,Admin2,Lat,Combined_Key,Date,Case,Long,Country/Region,Province/State
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-01,47439,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-02,51809,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-03,57159,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-04,63306,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-05,67551,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-06,72181,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-07,76876,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-08,81803,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-09,87028,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-10,92384,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-11,98308,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-12,103208,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-13,106763,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-14,110465,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-15,118302,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-16,123146,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-17,127352,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-18,131334,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-19,134267,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-20,136591,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-21,139348,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-22,142227,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-23,145855,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-24,150473,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-25,155113,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-26,158258,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-27,160489,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-28,162338,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-29,164841,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-04-30,167478,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-01,169690,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-02,172354,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-03,174331,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-04,175651,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-05,176874,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-06,178351,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-07,180216,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-08,181783,-73.97152637,US,New York
84036061,US,USA,840,36061,New York,40.7672726,"New York City, New York, US",2020-05-09,183289,-73.97152637,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-22,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-23,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-24,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-25,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-26,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-27,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-28,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-29,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-30,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-01-31,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-01,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-02,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-03,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-04,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-05,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-06,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-07,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-08,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-09,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-10,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-11,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-12,0,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-02-13,0,-78.74777412,US,New York
